id,aqisitionStation,pressure,relative_humidity,temperature,timestamp,wind,nebulosityType,windtype
1,ADAMCLISI,1001.7,48,26,1435829062347,2.0,NULL,NULL
2,ADJUD,1009.3,95,20.5,1435829062469,4.0,NULL,NULL
3,"ALBA IULIA",994.4,66,24.2,1435829062500,3.0,NULL,NULL
4,ALEXANDRIA,1012.1,57,26.5,1435829062525,1.0,NULL,NULL
5,ARAD,1001.8,63,28.1,1435829062553,NULL,NULL,NULL
6,BACAU,1001.8,63,22.7,1435829062582,2.0,NULL,NULL
7,BACLES,985.3,45,25.2,1435829062631,2.0,NULL,NULL
8,"BAIA MARE",1000.7,55,23.8,1435829062696,2.0,NULL,NULL
9,"BAILE HERCULANE",998.9,51,26.6,1435829062751,1.0,NULL,NULL
10,BAILESTI,1015,49,25.8,1435829062802,1.0,NULL,NULL
11,BAISOARA,872.6,57,14.4,1435829062844,4.0,NULL,NULL
12,"BALEA LAC",802.2,99,4.8,1435829062881,4.0,NULL,NULL
13,BANLOC,1013.2,41,27.2,1435829062912,3.0,NULL,NULL
14,BARAOLT,963.1,74,18,1435829062938,4.0,NULL,NULL
15,BARLAD,1001.8,66,21.4,1435829062983,1.0,NULL,NULL
16,"BARNOVA (RADAR)",970.3,63,21.2,1435829063023,NULL,NULL,NULL
17,BATOS,970.3,63,22.5,1435829063060,1.0,NULL,NULL
18,BECHET,1017.2,61,25.6,1435829063088,2.0,NULL,NULL
19,BISOCA,925.4,79,15.7,1435829063135,6.0,NULL,NULL
20,BISTRITA,979.1,51,23.6,1435829063190,2.0,NULL,NULL
21,BLAJ,983.1,65,23.2,1435829063227,1.0,NULL,NULL
22,BOITA,962.2,56,23.9,1435829063262,1.0,NULL,NULL
23,BOROD,984.2,45,24.1,1435829063332,3.0,NULL,NULL
24,BOTOSANI,1003.8,49,23.6,1435829063429,5.0,NULL,NULL
25,BOZOVICI,992.9,60,24.4,1435829063457,1.0,NULL,NULL
26,BRAILA,1019.4,50,26.7,1435829063534,4.0,NULL,NULL
27,"BRASOV GHIMBAV",959.9,58,23,1435829063600,6.0,NULL,NULL
28,BUCIN,880.9,70,14.7,1435829064618,3.0,NULL,NULL
29,"BUCURESTI AFUMATI",1011.5,51,25.6,1435829064645,2.0,NULL,NULL
30,"BUCURESTI BANEASA",1010.3,52,26.5,1435829064671,2.0,NULL,NULL
31,"BUCURESTI FILARET",1011.5,53,27.2,1435829064700,1.0,NULL,NULL
32,BUZAU,1010,57,23.8,1435829064733,4.0,NULL,NULL
33,CALAFAT,1014.1,49,27.6,1435829064773,1.0,NULL,NULL
34,CALARASI,1018.1,49,27.5,1435829064799,3.0,NULL,NULL
35,"CALIMANI (RETITIS)",806.2,100,6,1435829064828,7.0,NULL,NULL
36,"CAMPENI (BISTRA)",951.9,43,26.8,1435829064942,1.0,NULL,NULL
37,CAMPINA,967.9,59,23,1435829065093,2.0,NULL,NULL
38,"CAMPULUNG MUSCEL",994.5,56,21.8,1435829065132,NULL,NULL,NULL
39,CARACAL,994.5,56,27,1435829065256,NULL,NULL,NULL
40,CARANSEBES,994.5,56,25.6,1435829065303,2.0,NULL,NULL
41,"CEAHLAU TOACA",818,100,7.3,1435829065329,4.0,NULL,NULL
42,CERNAVODA,1009.8,47,28.3,1435829065358,4.0,NULL,NULL
43,"CHISINEU CRIS",1011.3,49,26.3,1435829065386,4.0,NULL,NULL
44,CLUJ-NAPOCA,974.7,54,23.1,1435829065428,4.0,NULL,NULL
45,CONSTANTA,1018.1,58,25.7,1435829065467,2.0,NULL,NULL
46,CORUGEA,994.3,41,24.2,1435829065576,6.0,NULL,NULL
47,COTNARI,988.1,52,21.8,1435829065680,8.0,NULL,NULL
48,CRAIOVA,998.6,56,25.7,1435829065804,2.0,NULL,NULL
49,CUNTU,864.1,60,15.8,1435829065930,2.0,NULL,NULL
50,"CURTEA DE ARGES",993,64,24.7,1435829066090,NULL,NULL,NULL
51,DARABANI,993,64,19.9,1435829066147,5.0,NULL,NULL
52,DEDULESTI-MORARESTI,959.2,40,24.3,1435829066202,1.0,NULL,NULL
53,DEJ,994.6,54,23.4,1435829066231,NULL,NULL,NULL
54,DEVA,994.6,54,25.8,1435829066257,1.0,NULL,NULL
